DCSP Zone,Zone,DCSP Code,DCSP Name,Stop ID,Stop Name,Type,Priority,Leg Dist (km),Cumul. Dist (km),Action,Parcels,Truck ID,Load %,Cumul Parcels
DCSP-SHK2,Central,SHK2,Huai Khwang 2,SHK2,Huai Khwang 2,DCSP,HUB,0,0,START,—,—,—,0
DCSP-SHK2,Central,SHK2,Huai Khwang 2,KE000035,Fortune Town,SHOP,1 - SHOP,0.74,0.74,PICKUP,91,SHK2-T01,57%,91
DCSP-SHK2,Central,SHK2,Huai Khwang 2,KE000001,ASOK,SHOP,1 - SHOP,1.53,2.26,PICKUP,115,SHK2-T02,72%,206
DCSP-SHK2,Central,SHK2,Huai Khwang 2,KE000206,Terminal21 Asok,SHOP,1 - SHOP,1.02,3.28,PICKUP,137,SHK2-T04,86%,343
DCSP-SHK2,Central,SHK2,Huai Khwang 2,KE000206,Terminal21 Asok,SHOP,1 - SHOP,0,3.28,PICKUP,137,SHK2-T04,86%,480
DCSP-SHK2,Central,SHK2,Huai Khwang 2,KE000205,Thong Lor,SHOP,1 - SHOP,2.76,6.04,PICKUP,100,SHK2-T05,62%,580
DCSP-SHK2,Central,SHK2,Huai Khwang 2,PSP000071,Suthiporn Phasart,PSP,2 - PSP,3.55,9.59,PICKUP,67,SHK2-T06,42%,647
DCSP-SHK2,Central,SHK2,Huai Khwang 2,PSP000040,SBB Brandname,PSP,2 - PSP,3.41,13,PICKUP,69,SHK2-T06,43%,716
DCSP-SHK2,Central,SHK2,Huai Khwang 2,PSP000269,30 Post & Pay,PSP,2 - PSP,0.64,13.64,PICKUP,80,SHK2-T07,50%,796
DCSP-SHK2,Central,SHK2,Huai Khwang 2,PSP000139,WashRoom&Dry,PSP,2 - PSP,6.09,19.73,PICKUP,72,SHK2-T07,45%,868
DCSP-SHK2,Central,SHK2,Huai Khwang 2,PSP000152,สิงห์ทอง ลาดพร้าว 43/1,PSP,2 - PSP,0.53,20.26,PICKUP,72,SHK2-T08,45%,940
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP002109,P3557ลอว์สัน แฟลตดินแดง51 - Lawson Flat Din Daeng51,RTSP,3 - RTSP,4.97,25.23,PICKUP,36,SHK2-T08,22%,976
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP004213,โลตัส Hyper -ฟอร์จูน,RTSP,3 - RTSP,1.11,26.34,PICKUP,54,SHK2-T09,34%,1030
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001828,Fortune-Ratchada 2 FL 2,RTSP,3 - RTSP,0.28,26.61,PICKUP,28,SHK2-T09,18%,1058
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001827,SMT Fortune-Ratchada 1 FL 2,RTSP,3 - RTSP,0.12,26.74,PICKUP,24,SHK2-T09,15%,1082
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP002177,108SHOP เพชรอุทัย,RTSP,3 - RTSP,0.88,27.62,PICKUP,26,SHK2-T09,16%,1108
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001136,ท็อปส์เดลี่ อิตัลไทย ทาวเวอร์,RTSP,3 - RTSP,0.61,28.23,PICKUP,41,SHK2-T10,26%,1149
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001200,ท็อปส์ เดลี่ อิตัลไทย ทาวเวอร์,RTSP,3 - RTSP,0.07,28.3,PICKUP,27,SHK2-T10,17%,1176
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP004271,โกเฟรช -ถนนเพชรบุรีตัดใหม่,RTSP,3 - RTSP,0.23,28.53,PICKUP,53,SHK2-T10,33%,1229
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP005985,ออฟฟิศเมท รอยัลซิตี้อเวนิว RCA,RTSP,3 - RTSP,0.37,28.9,PICKUP,52,SHK2-T11,32%,1281
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP002089,P0115ลอว์สัน สหพัฒนพิบูล - Lawson Sahapatanaphibul,RTSP,3 - RTSP,0.2,29.1,PICKUP,59,SHK2-T11,37%,1340
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001134,ท็อปส์เดลี่ ไอ-บิซาอาร์ซีเอ,RTSP,3 - RTSP,0.67,29.77,PICKUP,29,SHK2-T11,18%,1369
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP000967,ท็อปส์เดลี่ เดอะ เรสซิเดนท์ ทองหล่อ,RTSP,3 - RTSP,1.49,31.26,PICKUP,39,SHK2-T12,24%,1408
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP002414,โกเฟรช-ซอยเอกมัย 30,RTSP,3 - RTSP,0.94,32.19,PICKUP,40,SHK2-T12,25%,1448
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP006234,ท็อปส์ เดลี่ สุขุมวิท 33,RTSP,3 - RTSP,2.73,34.93,PICKUP,33,SHK2-T12,21%,1481
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP002099,P3520ลอว์สัน สุขุมวิท 23 - Lawson Sukhumvit 23,RTSP,3 - RTSP,0.67,35.6,PICKUP,54,SHK2-T13,34%,1535
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP002164,P3509ลอว์สัน เสริมมิตร เทาวเวอร์ - Sermmit Tower,RTSP,3 - RTSP,0.19,35.79,PICKUP,33,SHK2-T13,21%,1568
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001662,Jiffy จีเอ็มเอ็ม แกรมมี่ (MPUP),RTSP,3 - RTSP,0.28,36.07,PICKUP,29,SHK2-T13,18%,1597
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP005972,ออฟฟิศเมท มิดทาวน์ อโศก ชั้น B1,RTSP,3 - RTSP,0.1,36.17,PICKUP,14,SHK2-T13,9%,1611
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001287,ท็อปส์เดลี่ สุขุมวิท13 2,RTSP,3 - RTSP,0.44,36.61,PICKUP,43,SHK2-T14,27%,1654
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP001287,ท็อปส์เดลี่ สุขุมวิท13 2,RTSP,3 - RTSP,0,36.61,PICKUP,43,SHK2-T14,27%,1697
DCSP-SHK2,Central,SHK2,Huai Khwang 2,RTSP000948,ดี เชน สาขา สุขุมวิท ซ 11,RTSP,3 - RTSP,0.14,36.75,PICKUP,28,SHK2-T14,18%,1725
